################################################################################################
### CosmicWatch: The Desktop Muon Detector
### Device ID: JesseThaler
### Launch time: 0:00:05 1/1/2019
### Questions? Email Spencer N. Axani (saxani@mit.edu)
### Event Time Date TimeStamp[ms] ADC1 ADC2 SiPM[mV] Temp[C] Pressure[Pa] DeadTime[us] Coincident
################################################################################################
1	0:00:06	1/1/2019 	803	537.00	9.00	13.26	30.54	101248.45	101085	0	
2	0:00:07	1/1/2019 	1111	947.00	165.00	41.49	30.53	101248.73	5402	0	
3	0:00:07	1/1/2019 	1305	91.00	8.00	6.37	30.53	101248.73	1848	0	
4	0:00:07	1/1/2019 	1350	228.00	8.00	9.89	30.53	101248.73	1845	0	
5	0:00:07	1/1/2019 	1867	260.00	8.00	10.46	30.53	101249.24	52387	0	
6	0:00:08	1/1/2019 	2429	885.00	96.00	29.19	30.53	101249.31	1845	0	
7	0:00:09	1/1/2019 	3035	387.00	8.00	12.01	30.53	101249.83	52390	0	
8	0:00:10	1/1/2019 	4250	590.00	9.00	13.90	30.53	101250.72	52388	0	
9	0:00:11	1/1/2019 	5386	106.00	8.00	6.75	30.52	101251.12	52394	0	
10	0:00:11	1/1/2019 	5400	102.00	8.00	6.65	30.52	101251.12	8878	0	
11	0:00:11	1/1/2019 	5701	290.00	10.00	10.98	30.52	101251.12	52395	0	
12	0:00:11	1/1/2019 	5738	694.00	13.00	15.97	30.52	101251.12	1856	0	
13	0:00:11	1/1/2019 	5806	134.00	8.00	7.56	30.52	101251.20	1854	0	
14	0:00:12	1/1/2019 	6771	64.00	8.00	5.92	30.52	101251.55	52389	0	
15	0:00:13	1/1/2019 	7492	916.00	130.00	35.81	30.52	101252.16	1846	0	
16	0:00:13	1/1/2019 	7988	125.00	8.00	7.29	30.52	101252.41	52392	0	
17	0:00:14	1/1/2019 	8492	625.00	10.00	14.55	30.52	101252.74	4311	0	
18	0:00:15	1/1/2019 	9326	560.00	8.00	13.38	30.51	101252.98	52391	0	
19	0:00:16	1/1/2019 	10411	730.00	20.00	18.08	30.51	101253.43	52388	0	
20	0:00:16	1/1/2019 	10454	468.00	8.00	12.60	30.51	101253.43	2574	0	
21	0:00:17	1/1/2019 	11134	550.00	8.00	13.28	30.51	101254.19	52387	0	
22	0:00:17	1/1/2019 	11338	719.00	16.00	16.97	30.51	101254.19	1846	0	
